Item,Qty,Designator,Value,LibPart,Footprint,JLCPCB Part,MPN,MPN_ALT1
1,21,"C1, C8, C9, C14, C16, C18, C20, C21, C22, C25, C26, C27, C29, C31, C32, C33, C34, C35, C36, C37, C38",0.1uF,RobotProtos:Csmall,Capacitor_SMD:1005_C,C1525,CL05B104KO5NNNC,
2,2,"C2, C5",27pF C0G 50V,RobotProtos:Csmall,Capacitor_SMD:1005_C,C1557,0402CG270J500NT,
3,7,"C3, C6, C10, C11, C12, C19, C28",1uF,RobotProtos:Csmall,Capacitor_SMD:2012_C,C28323,CL21B105KBFNNNE,
4,5,"C4, C23, C24, C30, C40",10uF,RobotProtos:Csmall,Capacitor_SMD:1005_C,C15525,CL05A106MQ5NUNC,
5,4,"C7, C13, C15, C17",47uF 35V,RobotProtos:CPsmall,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,C357615,RG035M470LO5*11TA-1A1E,C357615
6,3,"C39, C41, C42",100uF 35V,RobotProtos:CPsmall,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C269987,NPHDD1H101MF,ERJ1VM221F09OT
7,1,D1,40V 5A 550mV,RobotProtos:DSMALL,Diode_SMD:DO-214AC_KA,C22452,SS54,C22452
8,1,D2,PWR,RobotProtos:LED_SMALL,LED_SMD:1608_C_KA,C72043, 19-217/GHC-YR1S2/3T,
9,1,J1,GPIO,Connector_Generic:Conn_02x12_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical,C492429,PZ254V-12-24P,
10,1,J2,Vin,Connector_Generic:Conn_01x02,TerminalBlock:Ningbo_Kangnex_Electric_WJ126V-5.0-2P,C8404,WJ126V-5.0-2P,
11,8,"J3, J4, J5, J6, J7, J8, J9, J10",MODHEADER,Connector:Conn_01x08_Female,Symbol:Dummy_01x08_2.54mm_header,C27438,C27438,
12,4,"M1, M2, M3, M4",Bipolar_Stepper_Motor_A1A2B2B1,RobotProtos:Bipolar_Stepper_Motor_A1A2B2B1,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C57846,XH-4A,
13,7,"R1, R4, R8, R20, R21, R22, R23",1k,RobotProtos:RSMALL,Resistor_SMD:1005_C,C11702,0402WGF1001TCE,
14,2,"R2, R3",22,RobotProtos:RSMALL,Resistor_SMD:1005_C,C25092,0402WGF220JTCE,
15,1,R5,100k,RobotProtos:RSMALL,Resistor_SMD:1005_C,C25741,0402WGF1003TCE,
16,12,"R6, R7, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18",10k,RobotProtos:RSMALL,Resistor_SMD:1005_C,C25744,0402WGF1002TCE,
17,4,"R24, R25, R26, R27",0,RobotProtos:RSMALL,Resistor_SMD:1005_C,C17168,0402WGF0000TCE,
18,1,U1,RP2040,RobotProtos:RP2040,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,RP2040,
19,1,U2,W25Q128JVS,Memory_Flash:W25Q128JVS,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521,W25Q128JVSIQ,
20,1,U3,XC6206P332MR,Regulator_Linear:XC6206PxxxMR,Package_TO_SOT_SMD:SOT-23,C5446,XC6206P332MR,
21,1,Y1,12MHz,RobotProtos:Crystal_small_4P,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,X322512MSB4SI,
